id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
64,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.3,0.402336924,7,1,-1,0,-1,1,1,1,2,1,64,3,0.315277655,0.464593486,0.361247837,0,0.7,0.3,0.2,2,2,8,2,5,2,10,10,3,1,11,0,1,1,0,1,0
65,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0.4,0.7,1.372725391,11,1,-1,0,-1,14,1,1,2,1,82,3,0.316069613,0.568781502,0.370270172,2,0.8,0.6,0.8,1,4,8,3,8,1,18,7,2,2,4,0,1,0,0,1,0
66,0,0,1,5,1,4,1,0,0,0,0,0,0,0,0,8,1,0,0,0.7,0.4,0.955902715,7,1,-1,0,-1,11,1,1,2,1,103,3,0.316227766,0.575964875,0.358329457,2.645751311,0.3,0.7,0.1,3,2,9,3,7,3,13,5,5,3,8,0,0,0,0,1,0
72,0,5,3,6,1,3,0,1,0,0,0,0,0,0,0,11,1,0,0,0.6,0.4,0.742041104,5,0,0,0,0,14,1,1,0,1,29,3,0.447213595,0.984434645,0.368374809,3.31662479,0,0.6,0.6,3,2,8,0,9,0,11,8,1,3,5,0,0,0,0,0,1
74,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0.2,0.2,-1,6,1,-1,0,0,0,1,1,0,1,95,2,0.4,0.728734327,0.401372645,2.645751311,0.3,0.7,0.6,2,1,8,3,10,2,4,7,1,3,9,0,1,0,1,0,0
77,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0.4,0.2,0.587367006,4,1,-1,0,0,1,1,1,0,1,104,3,0.424264069,0.721038622,0.412916456,2.645751311,0.2,0.2,0.3,2,1,7,4,7,2,11,5,1,2,8,0,1,1,1,0,0
78,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.1,0.2,-1,4,1,-1,8,1,11,1,1,0,1,24,2,0.529150262,0.894750531,0.527730992,1.414213562,0.5,0.7,0.6,2,2,9,4,10,4,9,6,4,4,4,0,0,1,1,0,1
79,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.6,0.2,0.66614563,10,1,-1,0,1,15,1,0,0,1,5,2,0.447213595,1.314595435,0.4,3.741657387,0.9,0.5,0.2,4,2,7,2,10,0,10,4,2,4,3,0,1,1,1,0,1
80,0,4,1,6,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.9,0.8,1.034408043,4,1,-1,0,0,11,1,1,0,1,99,2,0.316227766,0.680103906,0.368781778,3.31662479,0.7,0.1,0.5,2,1,7,4,10,2,4,7,2,2,11,0,1,0,1,0,0
84,1,0,2,0,1,4,1,0,0,0,0,0,0,0,0,8,1,0,0,0.2,0.3,-1,4,0,-1,0,1,6,1,1,0,1,104,2,0.447213595,0.720264529,0.441588043,2.645751311,0.8,0.4,0.1,2,2,10,3,9,2,5,3,2,0,8,0,1,1,0,0,0
85,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,1,1.155692433,8,0,-1,0,1,10,1,1,0,1,28,3,0.374165739,0.642470696,0.382099464,2,0.9,0.3,0.6,2,3,7,3,12,2,11,2,0,4,7,0,1,0,0,0,0
89,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.7,0.3,0.828779223,11,1,-1,0,-1,0,1,0,2,1,87,3,0.316227766,0.845466764,0.36152455,3.741657387,0.1,0.4,0.2,3,2,8,0,9,3,5,5,3,1,11,0,1,0,0,1,0
90,0,1,1,2,1,6,0,0,1,0,0,0,0,0,0,4,1,0,0,0.6,0.5,0.912071817,7,1,-1,0,-1,0,1,1,3,1,66,3,0.399874981,0.673341243,0.381706694,2.449489743,0.1,0.4,0.8,2,4,7,4,9,2,12,7,1,2,3,0,1,1,1,0,0
93,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.7,0.3,0.884236959,11,1,-1,0,-1,1,1,1,2,1,10,2,0.316227766,0.68511325,0.376828874,3.16227766,0,0.8,0.3,4,2,6,5,9,3,9,6,1,4,11,0,1,1,0,0,0
95,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0.5,0.3,0.653356717,6,1,-1,0,0,6,1,1,0,1,26,1,0.374165739,0.601410189,0.390768474,2.828427125,0.7,0.3,0.6,3,1,7,3,7,2,12,2,1,3,11,1,0,1,0,0,1
96,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0.9,0.4,0.922293337,11,1,1,1,0,12,1,0,2,1,104,3,0.374165739,0.820287694,0.307408523,3.605551276,0.9,0.4,0,1,2,10,3,6,2,7,3,2,6,8,0,1,0,0,0,0
98,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0.9,0.5,1.247497495,8,1,-1,0,1,1,1,1,0,1,64,1,0.316227766,0.649411685,0.361939221,3.16227766,0.7,0.7,0.8,3,2,9,1,11,1,7,9,1,3,14,0,0,0,0,1,0
99,0,1,1,6,1,4,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0.603116904,7,1,-1,0,-1,0,1,1,0,1,54,3,0.4,0.957225674,0.382622529,3.605551276,0.8,0.5,0.9,2,1,8,0,11,2,15,1,2,2,6,0,1,1,1,1,0
101,0,3,4,9,1,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0.9,0.4,0.720676765,6,1,-1,0,1,0,1,1,0,1,32,1,0.316227766,0.642261629,0.36152455,3.31662479,0,0.2,0.3,2,3,8,4,8,3,12,4,1,1,7,0,0,1,1,0,0
104,0,4,1,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0.9,1.3,0.938416219,6,1,-1,0,1,11,1,1,0,1,19,3,0.316227766,0.642776133,0.388715835,2.645751311,0.1,0.5,0.1,1,1,7,4,10,3,7,5,0,4,6,0,1,0,0,1,0
107,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.3,0,0.920937023,6,1,-1,0,-1,1,1,1,0,1,38,3,0.316227766,0.740164852,0.359861084,3.464101615,0.7,0.3,0.6,4,0,9,4,10,2,10,6,0,8,14,0,1,0,1,0,0
109,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.9,0.3,0.694172169,7,0,-1,0,-1,10,1,1,2,1,83,2,0.408411557,0.653724232,0.397492138,1.732050808,0.8,0.6,0.9,3,0,8,4,9,4,4,9,3,1,9,0,1,1,1,0,1
110,1,5,2,1,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0.8,0.3,0.81240384,11,0,-1,0,-1,10,1,1,2,1,89,2,0.387298335,1.02389832,0.408656335,3.605551276,0.1,0.7,0.5,4,1,8,1,10,4,6,5,2,0,7,1,1,0,0,0,0
111,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.5,0.6,0.72758161,7,1,-1,0,-1,11,1,1,0,1,99,2,0.316227766,0.596390659,0.368781778,2.828427125,0.5,0.9,0.9,2,4,8,2,11,3,9,0,0,2,5,0,1,1,0,1,1
112,0,6,1,5,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.7,0.6,1.703855921,10,1,-1,0,1,14,1,1,0,1,49,3,0.4,0.789422584,0.368510515,3.464101615,0,0,0.2,0,3,8,3,10,1,6,3,2,3,6,0,1,0,1,0,0
116,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0.6,0,1.007472084,11,1,-1,0,-1,9,1,1,2,1,93,3,0.4,0.955745998,0.387298335,3.741657387,0.9,0.5,0.1,5,3,9,3,10,1,11,8,1,7,8,0,1,1,0,1,0
117,0,1,1,6,1,3,0,0,1,0,0,0,0,0,0,8,0,1,0,0.3,0,1.17686023,11,1,1,0,0,11,1,1,2,1,103,3,0.316227766,0.666726926,0.288790582,3.464101615,0.6,0.4,0.5,2,2,7,2,12,0,4,4,1,4,6,1,1,0,0,0,0
119,0,5,1,9,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0.4,0.3,0.722409164,11,1,1,0,1,14,1,1,2,1,49,3,0.4,0.728025179,-1,3.31662479,0.9,0.3,0.4,3,1,8,4,10,0,7,9,0,3,10,0,0,1,0,0,0
120,0,0,1,9,0,0,0,1,0,0,0,0,1,0,1,5,1,0,0,0.1,0.2,-1,7,1,0,2,0,1,1,1,2,1,1,0,0.424264069,0.970781827,0.346842904,3.605551276,0,0.6,0.7,2,3,8,4,11,0,5,4,5,3,11,0,1,1,0,1,0
121,0,2,1,6,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.6,0.2,0.533853913,11,1,1,0,0,0,1,1,1,1,22,3,0.316227766,0.718627595,0.310322413,3.16227766,0,0.2,0.2,1,1,9,3,10,3,9,7,1,2,3,0,0,1,0,0,0
123,0,4,2,4,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.9,0.9,1.456880228,11,1,-1,0,-1,1,1,1,2,1,85,3,0.4,0.89362989,0.407430976,3.464101615,0.9,0.2,0.1,2,2,7,6,9,3,7,10,1,2,13,0,0,1,0,0,0
125,0,3,1,2,1,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.9,0.8,1.116635572,11,0,0,1,0,17,1,1,1,1,104,3,0.447213595,1.323882657,0.375499667,3.16227766,0.3,0.3,0,2,2,10,3,7,0,6,7,2,5,6,0,0,1,0,1,0
127,0,6,1,6,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,0.8,0.8,1.304080136,11,1,1,0,1,0,1,1,2,1,78,3,0.4,0.865001314,0.328785645,3.464101615,0.6,0.6,0.9,1,2,8,1,6,2,9,7,3,3,5,0,1,1,1,0,1
137,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,12,0,1,0,0.9,0.3,0.570635611,11,1,1,0,0,14,1,0,2,1,49,3,0.4,0.842148963,0.329241553,3.741657387,0.8,0.1,0.9,0,4,8,6,9,4,10,4,1,6,8,0,0,1,1,0,1
138,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0.8,0.2,0.523211238,11,1,-1,0,-1,1,1,1,0,1,38,3,0.316227766,0.717260629,0.359861084,3.31662479,0.4,0.2,0.8,1,0,8,5,11,4,8,2,3,3,9,0,1,0,0,0,0
142,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.6,0.2,0.608789783,11,1,0,0,0,14,1,1,0,1,82,3,0.316227766,0.740616228,0.329241553,3.605551276,0.8,0.4,0.9,1,3,5,6,8,1,6,9,1,2,12,0,0,1,0,0,0
143,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.3,0,-1,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.749228253,0.36152455,3.605551276,0.3,0.2,0.6,2,4,7,5,11,3,12,13,2,1,11,0,1,1,0,0,0
144,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.4,0.2,0.670820393,3,1,-1,0,-1,1,1,1,-1,1,31,3,0.374165739,0.697071798,0.385486705,2.828427125,0,0.9,0.8,3,1,9,5,10,2,13,3,0,2,4,0,1,0,0,1,0
145,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9,0.4,1.000624805,11,0,1,0,1,10,1,0,2,1,28,3,0.387298335,0.957244561,0.338673884,3.741657387,0.8,0.4,0.4,2,2,8,2,10,2,10,1,1,4,6,0,1,1,0,1,1
147,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.6,0.2,0.471699057,7,1,-1,0,-1,0,1,1,1,1,34,2,0.4,0.83055045,0.378021163,3.605551276,0,0.5,0.5,3,3,7,1,9,2,7,6,0,1,12,0,0,0,1,0,0
149,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0.5,0,0.571729831,11,1,-1,0,-1,11,1,1,2,1,7,3,0.423556372,0.616106141,0.412916456,1.732050808,0.2,0.6,0,1,1,6,5,11,1,7,2,1,1,6,0,1,0,0,0,1
150,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.5,0.1,-1,6,1,-1,0,1,0,1,1,0,1,22,3,0.316227766,0.787207246,0.374566416,3.464101615,0.3,0.1,0.4,2,3,9,4,11,3,13,4,0,3,12,0,1,1,0,1,0
153,0,3,1,5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0.9,0.2,0.445112345,7,1,-1,0,-1,14,1,1,2,1,82,3,0.316069613,0.609616463,0.365102725,2.645751311,0,0.3,0.3,4,3,8,4,8,4,12,8,3,3,12,0,1,0,1,0,0
155,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0.9,0.3,0.748331477,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.703253948,0.36152455,3.31662479,0.6,0.2,0.9,4,3,9,2,11,4,5,4,0,2,6,0,0,1,0,1,0
156,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.6,0.690108687,0,1,-1,0,0,7,1,1,0,1,104,2,0.4,0.84060191,0.415451562,3.464101615,0.4,0.2,0.2,3,2,5,4,9,1,7,6,2,1,7,0,0,1,0,0,0
160,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.7,0.4,0.731436942,11,1,-1,0,-1,14,1,0,0,1,8,3,0.387298335,0.918316822,-1,3.741657387,0.1,0.9,0.8,3,1,8,3,7,3,7,5,5,1,5,0,1,0,0,0,0
162,1,6,1,3,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.3,0,0.679613861,4,1,-1,0,0,1,1,1,0,1,38,3,0.316227766,0.707544935,0.359861084,3.31662479,0.5,0.4,0.3,2,3,8,4,8,3,8,3,2,3,16,0,0,0,0,0,0
163,0,4,3,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.2,0.3,-1,6,1,-1,0,0,11,1,0,0,1,3,2,0.424264069,1.240921578,0.434971263,3.605551276,0.9,0.5,0.8,2,1,8,2,10,4,11,9,6,3,8,0,1,1,1,0,0
166,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0.8,0.2,0.577169819,6,1,-1,0,1,0,1,1,0,1,46,3,0.4,0.717635005,0.366333182,3,0.6,0,0.8,3,3,7,2,8,2,11,4,2,1,10,1,1,1,1,0,0
170,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0.9,1,1.454089062,11,0,-1,0,-1,6,1,1,2,1,27,3,0.4,0.781196899,0.390768474,3.16227766,0,0.8,0.5,3,1,8,3,9,3,10,3,2,3,7,0,0,1,1,1,0
177,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0.7,0.5,0.911729126,11,1,1,0,0,6,1,0,2,1,104,3,0.4,1.037359968,0.356089876,3.605551276,0.6,0.1,0.4,3,2,7,2,9,4,8,8,1,1,11,0,0,1,1,0,0
186,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0.1,0.2,-1,7,1,-1,0,-1,0,1,1,2,1,87,3,0.316227766,0.701400606,0.36152455,3.31662479,0.4,0.8,0.9,3,2,8,4,8,2,11,2,2,3,7,0,1,0,0,0,0
189,0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0.7,0.2,0.604669331,7,1,-1,0,-1,1,1,1,2,1,64,3,0.316227766,0.662140281,0.361939221,3.16227766,0.4,0.2,0,1,1,9,2,9,2,13,9,1,2,9,0,1,1,0,1,0
193,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.4,0,0.446514278,11,1,-1,0,-1,1,1,1,1,1,38,3,0.316227766,0.705161021,0.359861084,3.31662479,0,0.5,0.3,0,3,6,6,11,2,5,8,3,5,12,1,1,1,0,0,0
194,0,5,1,9,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0.1,0.3,-1,7,1,0,0,1,11,1,1,2,1,104,1,0.423792402,0.377300109,-1,0,0.2,0.1,0.6,3,2,7,1,9,4,9,5,1,2,2,0,1,1,0,0,0
197,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.4,0.7,1.135781669,9,1,1,0,1,1,1,0,2,1,25,3,0.4,0.907057385,-1,3.605551276,0.9,0.8,0.6,2,1,8,3,7,5,7,6,2,3,6,0,0,0,0,0,1
199,0,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7,0.2,0.835164654,11,1,-1,0,-1,1,1,1,0,1,85,3,0.374165739,0.742844655,0.397492138,3,0,0.8,0.6,2,2,8,2,8,2,4,4,3,1,5,0,1,0,1,1,0
200,0,2,2,5,1,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0.9,0.8,0.843726852,11,1,-1,0,-1,1,1,1,2,1,85,3,0.424264069,0.769176333,0.415932687,2.828427125,0.6,0.8,0.4,4,1,8,5,8,3,8,2,1,2,8,0,1,1,1,1,0
205,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.6,1.074418447,11,1,-1,0,-1,0,1,1,1,1,87,3,0.316227766,0.748883466,0.36152455,3.605551276,0.3,0.3,0.3,1,2,9,4,10,2,9,3,1,2,11,0,0,1,0,1,0
206,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.7,0.968568531,11,0,-1,1,-1,9,1,1,0,1,61,3,0.447213595,1.014919693,0.520480547,3.464101615,0.8,0.2,0.8,1,2,7,4,9,0,8,8,1,1,5,0,0,1,0,0,0
208,0,7,1,6,1,6,0,0,0,1,0,0,0,0,0,11,1,0,0,0.9,0.4,0.662382065,6,1,-1,0,1,11,1,1,0,1,16,3,0.374165739,0.717303836,0.388715835,3.31662479,0.6,0.8,0.9,2,4,8,4,10,3,8,5,0,3,7,0,1,0,1,0,0
209,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0.1,0.2,-1,11,0,0,1,1,9,1,1,2,1,104,2,0.424264069,1.265303021,0.35,3.605551276,0.7,0.3,0.6,1,3,8,1,10,3,15,4,1,4,9,0,1,1,1,1,0
210,0,5,1,8,1,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0.6,0.4,0.918558654,7,1,1,0,0,1,1,1,3,1,10,2,0.316227766,0.579558823,0.319374389,2.449489743,0.2,0.1,0.7,4,2,6,3,9,0,11,4,3,3,8,0,1,1,0,1,0
211,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,-1,7,1,-1,0,-1,14,1,1,2,1,68,3,0.4,0.823216831,0.407430976,3,0.9,0.3,0.5,3,3,8,4,10,2,7,5,3,3,10,1,1,1,0,1,0
212,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0.4,0,0.497493719,7,1,0,0,1,14,1,1,0,1,104,2,0.316227766,0.581587312,0.33763886,2.236067978,0.2,0.6,0.3,2,0,6,6,12,3,5,5,2,5,8,0,1,0,1,1,0
214,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0.8,0.4,0.830662386,6,1,-1,0,0,11,1,1,0,1,99,2,0.316227766,0.71329827,0.368781778,3.464101615,0.9,0.7,0.1,4,3,8,1,10,2,9,4,0,3,10,1,1,1,0,1,0
215,0,5,3,5,1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0.9,0.8,0.935414347,7,1,-1,0,-1,1,1,1,3,1,31,3,0.360555128,0.522529607,0.393700394,0,0.5,0.4,0.1,1,3,6,3,9,1,9,6,1,2,7,0,0,0,1,1,0
216,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0.9,0.4,0.840386816,11,1,0,1,1,12,1,1,2,1,104,2,0.374165739,0.751857205,0.331662479,3.464101615,0.7,0,0.7,1,3,7,0,10,3,6,3,2,5,10,0,0,0,0,1,0
217,1,1,1,5,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0.4,0,0.751664819,10,1,-1,0,0,6,1,1,0,1,104,1,0.316069613,0.545018765,0.34568772,2,0.1,0.1,0.8,4,1,8,4,11,2,10,9,1,1,6,0,1,0,0,0,0
